Pilecode,N,E
1.1.A.LBL,13696260.2707,2996039.3273
1.1.B.YEL,13696239.5247,2996039.3273
1.1.C.YEL,13696212.0464,2996039.3273
1.1.D.LBL,13696184.5678,2996039.3273
1.1.E.LBL,13696157.0895,2996039.3273
1.1.F.LBL,13696129.6112,2996039.3273
1.1.G.PRP,13696102.8376,2996039.3273
1.1.H.LBL,13696076.0641,2996039.3273
1.1.I.LBL,13696048.5858,2996039.3273
1.1.J.LBL,13696021.1075,2996039.3273
1.1.K.LBL,13695993.6289,2996039.3273
1.1.L.LBL,13695969.5167,2996039.3273
1.2.A.LBL,13696260.2707,2996059.3273
1.2.B.LBL,13696239.5247,2996059.3273
1.2.C.YEL,13696212.0464,2996059.3273
1.2.D.LBL,13696184.5678,2996059.3273
1.2.E.LBL,13696157.0895,2996059.3273
1.2.F.YEL,13696129.6112,2996059.3273
1.2.G.DBL,13696102.8376,2996059.3273
1.2.H.LBL,13696076.0641,2996059.3273
1.2.I.LBL,13696048.5858,2996059.3273
1.2.J.LBL,13696021.1075,2996059.3273
1.2.K.LBL,13695993.6289,2996059.3273
1.2.L.LBL,13695969.5167,2996059.3273
1.3.A.LBL,13696260.2707,2996079.3272
1.3.B.LBL,13696239.5247,2996079.3272
1.3.C.LBL,13696212.0464,2996079.3272
1.3.D.LBL,13696184.5678,2996079.3272
1.3.E.LBL,13696157.0895,2996079.3272
1.3.F.YEL,13696129.6112,2996079.3272
1.3.G.DBL,13696102.8376,2996079.3272
1.3.H.LBL,13696076.0641,2996079.3272
1.3.I.LBL,13696048.5858,2996079.3272
1.3.J.LBL,13696021.1075,2996079.3272
1.3.K.LBL,13695993.6289,2996079.3272
1.3.L.LBL,13695969.5167,2996079.3272
1.4.A.LBL,13696260.2707,2996099.3272
1.4.B.LBL,13696239.5247,2996099.3272
1.4.C.LBL,13696212.0464,2996099.3272
1.4.D.LBL,13696184.5678,2996099.3272
1.4.E.LBL,13696157.0895,2996099.3272
1.4.F.LBL,13696129.6112,2996099.3272
1.4.G.DBL,13696102.8376,2996099.3272
1.4.H.LBL,13696076.0641,2996099.3272
1.4.I.LBL,13696048.5858,2996099.3272
1.4.J.LBL,13696021.1075,2996099.3272
1.4.K.LBL,13695993.6289,2996099.3272
1.4.L.LBL,13695969.5167,2996099.3272
1.5.A.LBL,13696260.2707,2996119.3272
1.5.B.LBL,13696239.5247,2996119.3272
1.5.C.LBL,13696212.0464,2996119.3272
1.5.D.LBL,13696184.5678,2996119.3272
1.5.E.LBL,13696157.0895,2996119.3272
1.5.F.LBL,13696129.6112,2996119.3272
1.5.G.DBL,13696102.8376,2996119.3272
1.5.H.LBL,13696076.0641,2996119.3272
1.5.I.LBL,13696048.5858,2996119.3272
1.5.J.LBL,13696021.1075,2996119.3272
1.5.K.LBL,13695993.6289,2996119.3272
