Pilecode,N,E
1.15.A.LBL,13689672.0844,2998777.3274
1.15.B.LBL,13689651.3384,2998777.3274
1.15.C.LBL,13689623.8601,2998777.3274
1.15.D.LBL,13689596.3818,2998777.3274
1.15.E.LBL,13689568.9032,2998777.3274
1.15.F.ORA,13689541.4249,2998777.3274
1.15.G.PRP.WHT,13689514.6513,2998777.3274
1.15.H.LBL,13689487.8778,2998777.3274
1.15.I.LBL,13689460.3995,2998777.3274
1.15.J.LBL,13689432.9212,2998777.3274
1.15.K.LBL,13689405.4426,2998777.3274
1.15.L.LBL,13689381.3304,2998777.3274
1.16.A.LBL,13689672.0844,2998797.3274
1.16.B.LBL,13689651.3384,2998797.3274
1.16.C.LBL,13689623.8601,2998797.3274
1.16.D.LBL,13689596.3818,2998797.3274
1.16.E.ORA,13689568.9032,2998797.3274
1.16.F.LBL,13689541.4249,2998797.3274
1.16.G.PNK,13689514.6513,2998797.3274
1.16.H.LBL,13689487.8778,2998797.3274
1.16.I.LBL,13689460.3995,2998797.3274
1.16.J.LBL,13689432.9212,2998797.3274
1.16.K.LBL,13689405.4426,2998797.3274
1.16.L.LBL,13689381.3304,2998797.3274
1.17.A.LBL,13689672.0844,2998817.3273
1.17.B.LBL,13689651.3384,2998817.3273
1.17.C.LBL,13689623.8601,2998817.3273
1.17.D.LBL,13689596.3818,2998817.3273
1.17.E.ORA,13689568.9032,2998817.3273
1.17.F.ORA,13689541.4249,2998817.3273
1.17.G.PNK,13689514.6513,2998817.3273
1.17.H.LBL,13689487.8778,2998817.3273
1.17.I.LBL,13689460.3995,2998817.3273
1.17.J.LBL,13689432.9212,2998817.3273
1.17.K.LBL,13689405.4426,2998817.3273
1.17.L.LBL,13689381.3304,2998817.3273
1.18.A.LBL,13689672.0844,2998837.3276
1.18.B.LBL,13689651.3384,2998837.3276
1.18.C.LBL,13689623.8601,2998837.3276
1.18.D.LBL,13689596.3818,2998837.3276
1.18.E.ORA,13689568.9032,2998837.3276
1.18.F.ORA,13689541.4249,2998837.3276
1.18.G.PNK,13689514.6513,2998837.3276
1.18.H.LBL,13689487.8778,2998837.3276
1.18.I.LBL,13689460.3995,2998837.3276
1.18.J.LBL,13689432.9212,2998837.3276
1.18.K.LBL,13689405.4426,2998837.3276
1.18.L.LBL,13689381.3304,2998837.3276
1.19.A.LBL,13689672.0844,2998857.3276
1.19.B.LBL,13689651.3384,2998857.3276
1.19.C.LBL,13689623.8601,2998857.3276
1.19.D.LBL,13689596.3818,2998857.3276
1.19.E.ORA,13689568.9032,2998857.3276
1.19.F.LBL,13689541.4249,2998857.3276
