Pilecode,N,E
1.1.A.YEL,13691463.0011,3012147.3506
1.1.B.YEL,13691442.2548,3012147.3506
1.1.C.YEL,13691414.7765,3012147.3506
1.1.D.YEL,13691387.2982,3012147.3506
1.1.E.YEL,13691359.8199,3012147.3506
1.1.F.YEL,13691332.3416,3012147.3506
1.1.G.PRP,13691305.5680,3012147.3506
1.1.H.YEL,13691278.7945,3012147.3506
1.1.I.YEL,13691251.3162,3012147.3506
1.1.J.YEL,13691223.8375,3012147.3506
1.1.K.LBL,13691196.3592,3012147.3506
1.1.L.LBL,13691172.2471,3012147.3506
1.2.A.YEL,13691463.0011,3012167.3505
1.2.B.YEL,13691442.2548,3012167.3505
1.2.C.YEL,13691414.7765,3012167.3505
1.2.D.YEL,13691387.2982,3012167.3505
1.2.E.YEL,13691359.8199,3012167.3505
1.2.F.YEL,13691332.3416,3012167.3505
1.2.G.DBL,13691305.5680,3012167.3505
1.2.H.YEL,13691278.7945,3012167.3505
1.2.I.LBL,13691251.3162,3012167.3505
1.2.J.LBL,13691223.8375,3012167.3505
1.2.K.YEL,13691196.3592,3012167.3505
1.2.L.LBL,13691172.2471,3012167.3505
1.3.A.YEL,13691463.0011,3012187.3505
1.3.B.YEL,13691442.2548,3012187.3505
1.3.C.LBL,13691414.7765,3012187.3505
1.3.D.YEL,13691387.2982,3012187.3505
1.3.E.YEL,13691359.8199,3012187.3505
1.3.F.LBL,13691332.3416,3012187.3505
1.3.G.DBL,13691305.5680,3012187.3505
1.3.H.LBL,13691278.7945,3012187.3505
1.3.I.LBL,13691251.3162,3012187.3505
1.3.J.LBL,13691223.8375,3012187.3505
1.3.K.LBL,13691196.3592,3012187.3505
1.3.L.LBL,13691172.2471,3012187.3505
1.4.A.YEL,13691463.0011,3012207.3504
1.4.B.YEL,13691442.2548,3012207.3504
1.4.C.LBL,13691414.7765,3012207.3504
1.4.D.YEL,13691387.2982,3012207.3504
1.4.E.LBL,13691359.8199,3012207.3504
1.4.F.LBL,13691332.3416,3012207.3504
1.4.G.DBL,13691305.5680,3012207.3504
1.4.H.LBL,13691278.7945,3012207.3504
1.4.I.LBL,13691251.3162,3012207.3504
1.4.J.LBL,13691223.8375,3012207.3504
1.4.K.LBL,13691196.3592,3012207.3504
1.4.L.LBL,13691172.2471,3012207.3504
1.5.A.YEL,13691463.0011,3012227.3504
1.5.B.YEL,13691442.2548,3012227.3504
1.5.C.YEL,13691414.7765,3012227.3504
1.5.D.YEL,13691387.2982,3012227.3504
1.5.E.YEL,13691359.8199,3012227.3504
1.5.F.YEL,13691332.3416,3012227.3504
1.5.G.DBL,13691305.5680,3012227.3504
1.5.H.LBL,13691278.7945,3012227.3504
1.5.I.LBL,13691251.3162,3012227.3504
1.5.J.LBL,13691223.8375,3012227.3504
1.5.K.LBL,13691196.3592,3012227.3504
1.5.L.LBL,13691172.2471,3012227.3504
1.6.A.YEL,13691463.0011,3012247.3504
1.6.B.LBL,13691442.2548,3012247.3504
1.6.C.LBL,13691414.7765,3012247.3504
1.6.D.LBL,13691387.2982,3012247.3504
1.6.E.YEL,13691359.8199,3012247.3504
1.6.F.YEL,13691332.3416,3012247.3504
1.6.G.DBL,13691305.5680,3012247.3504
1.6.H.LBL,13691278.7945,3012247.3504
1.6.I.LBL,13691251.3162,3012247.3504
1.6.J.LBL,13691223.8375,3012247.3504
1.6.K.LBL,13691196.3592,3012247.3504
1.6.L.LBL,13691172.2471,3012247.3504
1.7.A.LBL,13691463.0011,3012267.3507
1.7.B.YEL,13691442.2548,3012267.3507
1.7.C.LBL,13691414.7765,3012267.3507
1.7.D.YEL,13691387.2982,3012267.3507
1.7.E.YEL,13691359.8199,3012267.3507
1.7.F.YEL,13691332.3416,3012267.3507
1.7.G.DBL,13691305.5680,3012267.3507
1.7.H.YEL,13691278.7945,3012267.3507
1.7.I.LBL,13691251.3162,3012267.3507
1.7.J.LBL,13691223.8375,3012267.3507
1.7.K.LBL,13691196.3592,3012267.3507
1.7.L.LBL,13691172.2471,3012267.3507
1.8.A.ORA,13691463.0011,3012287.3506
1.8.B.YEL,13691442.2548,3012287.3506
1.8.C.LBL,13691414.7765,3012287.3506
1.8.D.LBL,13691387.2982,3012287.3506
1.8.E.YEL,13691359.8199,3012287.3506
1.8.F.YEL,13691332.3416,3012287.3506
1.8.G.DBL,13691305.5680,3012287.3506
1.8.H.YEL,13691278.7945,3012287.3506
1.8.I.LBL,13691251.3162,3012287.3506
1.8.J.LBL,13691223.8375,3012287.3506
1.8.K.LBL,13691196.3592,3012287.3506
1.8.L.LBL,13691172.2471,3012287.3506
1.9.A.LBL,13691463.0011,3012307.3506
1.9.B.ORA,13691442.2548,3012307.3506
1.9.C.YEL,13691414.7765,3012307.3506
1.9.D.LBL,13691387.2982,3012307.3506
1.9.E.LBL,13691359.8199,3012307.3506
1.9.F.LBL,13691332.3416,3012307.3506
1.9.G.DBL,13691305.5680,3012307.3506
1.9.H.LBL,13691278.7945,3012307.3506
1.9.I.LBL,13691251.3162,3012307.3506
1.9.J.LBL,13691223.8375,3012307.3506
1.9.K.LBL,13691196.3592,3012307.3506
1.9.L.LBL,13691172.2471,3012307.3506
1.10.A.LBL,13691463.0011,3012327.3505
1.10.B.LBL,13691442.2548,3012327.3505
1.10.C.LBL,13691414.7765,3012327.3505
1.10.D.YEL,13691387.2982,3012327.3505
1.10.E.YEL,13691359.8199,3012327.3505
1.10.F.YEL,13691332.3416,3012327.3505
1.10.G.DBL,13691305.5680,3012327.3505
1.10.H.LBL,13691278.7945,3012327.3505
1.10.I.LBL,13691251.3162,3012327.3505
1.10.J.LBL,13691223.8375,3012327.3505
1.10.K.LBL,13691196.3592,3012327.3505
1.10.L.LBL,13691172.2471,3012327.3505
1.11.A.LBL,13691463.0011,3012347.3505
1.11.B.YEL,13691442.2548,3012347.3505
1.11.C.ORA,13691414.7765,3012347.3505
1.11.D.YEL,13691387.2982,3012347.3505
1.11.E.LBL,13691359.8199,3012347.3505
1.11.F.LBL,13691332.3416,3012347.3505
1.11.G.DBL,13691305.5680,3012347.3505
1.11.H.LBL,13691278.7945,3012347.3505
1.11.I.LBL,13691251.3162,3012347.3505
1.11.J.LBL,13691223.8375,3012347.3505
1.11.K.LBL,13691196.3592,3012347.3505
1.11.L.LBL,13691172.2471,3012347.3505
1.12.A.YEL,13691463.0011,3012367.3505
1.12.B.YEL,13691442.2548,3012367.3505
1.12.C.YEL,13691414.7765,3012367.3505
1.12.D.LBL,13691387.2982,3012367.3505
1.12.E.YEL,13691359.8199,3012367.3505
1.12.F.LBL,13691332.3416,3012367.3505
1.12.G.DBL,13691305.5680,3012367.3505
1.12.H.LBL,13691278.7945,3012367.3505
1.12.I.LBL,13691251.3162,3012367.3505
1.12.J.LBL,13691223.8375,3012367.3505
