Pilecode,N,E
1.1.A.YEL,13696898.7944,2996039.3273
1.1.B.YEL,13696878.0483,2996039.3273
1.1.C.YEL,13696850.5697,2996039.3273
1.1.D.YEL,13696823.0914,2996039.3273
1.1.E.YEL,13696795.6131,2996039.3273
1.1.F.YEL,13696768.1348,2996039.3273
1.1.G.PRP,13696741.3613,2996039.3273
1.1.H.YEL,13696714.5877,2996039.3273
1.1.I.YEL,13696687.1094,2996039.3273
1.1.J.YEL,13696659.6308,2996039.3273
1.1.K.YEL,13696632.1525,2996039.3273
1.1.L.YEL,13696608.0404,2996039.3273
1.2.A.YEL,13696898.7944,2996059.3273
1.2.B.YEL,13696878.0483,2996059.3273
1.2.C.YEL,13696850.5697,2996059.3273
1.2.D.YEL,13696823.0914,2996059.3273
1.2.E.YEL,13696795.6131,2996059.3273
1.2.F.YEL,13696768.1348,2996059.3273
1.2.G.DBL,13696741.3613,2996059.3273
1.2.H.YEL,13696714.5877,2996059.3273
1.2.I.YEL,13696687.1094,2996059.3273
1.2.J.LBL,13696659.6308,2996059.3273
1.2.K.YEL,13696632.1525,2996059.3273
1.2.L.YEL,13696608.0404,2996059.3273
1.3.A.LBL,13696898.7944,2996079.3272
1.3.B.LBL,13696878.0483,2996079.3272
1.3.C.YEL,13696850.5697,2996079.3272
1.3.D.YEL,13696823.0914,2996079.3272
1.3.E.YEL,13696795.6131,2996079.3272
1.3.F.YEL,13696768.1348,2996079.3272
1.3.G.DBL,13696741.3613,2996079.3272
1.3.H.YEL,13696714.5877,2996079.3272
1.3.I.YEL,13696687.1094,2996079.3272
1.3.J.YEL,13696659.6308,2996079.3272
1.3.K.YEL,13696632.1525,2996079.3272
1.3.L.YEL,13696608.0404,2996079.3272
1.4.A.LBL,13696898.7944,2996099.3272
1.4.B.LBL,13696878.0483,2996099.3272
1.4.C.LBL,13696850.5697,2996099.3272
1.4.D.YEL,13696823.0914,2996099.3272
1.4.E.YEL,13696795.6131,2996099.3272
1.4.F.YEL,13696768.1348,2996099.3272
1.4.G.DBL,13696741.3613,2996099.3272
1.4.H.YEL,13696714.5877,2996099.3272
1.4.I.YEL,13696687.1094,2996099.3272
1.4.J.YEL,13696659.6308,2996099.3272
1.4.K.YEL,13696632.1525,2996099.3272
1.4.L.YEL,13696608.0404,2996099.3272
1.5.A.LBL,13696898.7944,2996119.3272
1.5.B.LBL,13696878.0483,2996119.3272
1.5.C.LBL,13696850.5697,2996119.3272
1.5.D.LBL,13696823.0914,2996119.3272
1.5.E.YEL,13696795.6131,2996119.3272
1.5.F.YEL,13696768.1348,2996119.3272
1.5.G.DBL,13696741.3613,2996119.3272
1.5.H.YEL,13696714.5877,2996119.3272
1.5.I.YEL,13696687.1094,2996119.3272
1.5.J.YEL,13696659.6308,2996119.3272
1.5.K.YEL,13696632.1525,2996119.3272
1.5.L.YEL,13696608.0404,2996119.3272
1.6.A.LBL,13696898.7944,2996139.3271
1.6.B.LBL,13696878.0483,2996139.3271
1.6.C.LBL,13696850.5697,2996139.3271
1.6.D.LBL,13696823.0914,2996139.3271
1.6.E.YEL,13696795.6131,2996139.3271
1.6.F.YEL,13696768.1348,2996139.3271
1.6.G.DBL,13696741.3613,2996139.3271
1.6.H.YEL,13696714.5877,2996139.3271
