Pilecode,N,E
1.17.A.LBL,13692226.9087,3006936.2206
1.17.B.LGR,13692206.1623,3006936.2206
1.17.C.LBL,13692178.6841,3006936.2206
1.17.D.LBL,13692151.2058,3006936.2206
1.17.E.LBL,13692123.7275,3006936.2206
1.17.F.LBL,13692096.2492,3006936.2206
1.17.G.PRP,13692069.4756,3006936.2206
1.17.H.LBL,13692042.7020,3006936.2206
1.17.I.YEL,13692015.2238,3006936.2206
1.17.J.YEL,13691987.7455,3006936.2206
1.17.K.LGR,13691960.2668,3006936.2206
1.17.L.LBL,13691936.1547,3006936.2206
1.18.A.YEL,13692226.9087,3006956.2205
1.18.B.LGR,13692206.1623,3006956.2205
1.18.C.YEL,13692178.6841,3006956.2205
1.18.D.YEL,13692151.2058,3006956.2205
1.18.E.YEL,13692123.7275,3006956.2205
1.18.F.YEL,13692096.2492,3006956.2205
1.18.G.DBL,13692069.4756,3006956.2205
1.18.H.YEL,13692042.7020,3006956.2205
1.18.I.YEL,13692015.2238,3006956.2205
1.18.J.YEL,13691987.7455,3006956.2205
1.18.K.LGR,13691960.2668,3006956.2205
1.18.L.YEL,13691936.1547,3006956.2205
1.19.A.YEL,13692226.9087,3006976.2205
1.19.B.LGR,13692206.1623,3006976.2205
1.19.C.YEL,13692178.6841,3006976.2205
1.19.D.YEL,13692151.2058,3006976.2205
1.19.E.YEL,13692123.7275,3006976.2205
1.19.F.YEL,13692096.2492,3006976.2205
1.19.G.DBL,13692069.4756,3006976.2205
1.19.H.YEL,13692042.7020,3006976.2205
1.19.I.YEL,13692015.2238,3006976.2205
1.19.J.YEL,13691987.7455,3006976.2205
1.19.K.LGR,13691960.2668,3006976.2205
1.19.L.YEL,13691936.1547,3006976.2205
1.20.A.YEL,13692226.9087,3006996.2204
1.20.B.LGR,13692206.1623,3006996.2204
1.20.C.YEL,13692178.6841,3006996.2204
1.20.D.YEL,13692151.2058,3006996.2204
1.20.E.YEL,13692123.7275,3006996.2204
1.20.F.YEL,13692096.2492,3006996.2204
1.20.G.DBL,13692069.4756,3006996.2204
1.20.H.YEL,13692042.7020,3006996.2204
1.20.I.YEL,13692015.2238,3006996.2204
1.20.J.YEL,13691987.7455,3006996.2204
1.20.K.LGR,13691960.2668,3006996.2204
1.20.L.YEL,13691936.1547,3006996.2204
1.21.A.YEL,13692226.9087,3007016.2204
1.21.B.LGR,13692206.1623,3007016.2204
1.21.C.YEL,13692178.6841,3007016.2204
1.21.D.YEL,13692151.2058,3007016.2204
1.21.E.YEL,13692123.7275,3007016.2204
1.21.F.YEL,13692096.2492,3007016.2204
1.21.G.DBL,13692069.4756,3007016.2204
1.21.H.YEL,13692042.7020,3007016.2204
1.21.I.YEL,13692015.2238,3007016.2204
1.21.J.YEL,13691987.7455,3007016.2204
1.21.K.LGR,13691960.2668,3007016.2204
1.21.L.YEL,13691936.1547,3007016.2204
1.22.A.YEL,13692226.9087,3007036.2204
1.22.B.LGR,13692206.1623,3007036.2204
1.22.C.YEL,13692178.6841,3007036.2204
1.22.D.YEL,13692151.2058,3007036.2204
1.22.E.YEL,13692123.7275,3007036.2204
1.22.F.YEL,13692096.2492,3007036.2204
1.22.G.DBL,13692069.4756,3007036.2204
1.22.H.YEL,13692042.7020,3007036.2204
1.22.I.YEL,13692015.2238,3007036.2204
1.22.J.YEL,13691987.7455,3007036.2204
1.22.K.YEL,13691960.2668,3007036.2204
1.22.L.YEL,13691936.1547,3007036.2204
1.23.A.YEL,13692226.9087,3007056.2207
1.23.B.LGR,13692206.1623,3007056.2207
1.23.C.YEL,13692178.6841,3007056.2207
1.23.D.YEL,13692151.2058,3007056.2207
1.23.E.YEL,13692123.7275,3007056.2207
1.23.F.YEL,13692096.2492,3007056.2207
1.23.G.DBL,13692069.4756,3007056.2207
1.23.H.YEL,13692042.7020,3007056.2207
1.23.I.YEL,13692015.2238,3007056.2207
1.23.J.YEL,13691987.7455,3007056.2207
1.23.K.YEL,13691960.2668,3007056.2207
1.23.L.YEL,13691936.1547,3007056.2207
1.24.A.YEL,13692226.9087,3007076.2206
1.24.B.LGR,13692206.1623,3007076.2206
1.24.C.YEL,13692178.6841,3007076.2206
1.24.D.YEL,13692151.2058,3007076.2206
1.24.E.YEL,13692123.7275,3007076.2206
1.24.F.YEL,13692096.2492,3007076.2206
1.24.G.DBL,13692069.4756,3007076.2206
1.24.H.YEL,13692042.7020,3007076.2206
1.24.I.YEL,13692015.2238,3007076.2206
1.24.J.YEL,13691987.7455,3007076.2206
1.24.K.YEL,13691960.2668,3007076.2206
1.24.L.YEL,13691936.1547,3007076.2206
1.25.A.YEL,13692226.9087,3007096.2206
1.25.B.LGR,13692206.1623,3007096.2206
1.25.C.YEL,13692178.6841,3007096.2206
1.25.D.YEL,13692151.2058,3007096.2206
1.25.E.YEL,13692123.7275,3007096.2206
1.25.F.YEL,13692096.2492,3007096.2206
1.25.G.DBL,13692069.4756,3007096.2206
1.25.H.YEL,13692042.7020,3007096.2206
1.25.I.YEL,13692015.2238,3007096.2206
1.25.J.YEL,13691987.7455,3007096.2206
1.25.K.YEL,13691960.2668,3007096.2206
1.25.L.YEL,13691936.1547,3007096.2206
1.26.A.YEL,13692226.9087,3007116.2205
1.26.B.LGR,13692206.1623,3007116.2205
1.26.C.YEL,13692178.6841,3007116.2205
1.26.D.YEL,13692151.2058,3007116.2205
